date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:45:29	42/42	---MCZ	200	added ('OK')	text/plain	etag:W/%2266e04dd0-16%22	https://securityheaders.com/robots.txt		(from )
12:45:30	14832/14832	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Jan%202025%2007:15:30%20GMT	https://securityheaders.com/	/Users/bb/websites/dead-link-checker/securityheaders.com/index.html	(from )
12:45:30	16958/16958	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2266e04e1a-423e%22	https://securityheaders.com/images/favicon.ico	/Users/bb/websites/dead-link-checker/securityheaders.com/images/favicon.ico	(from https://securityheaders.com/)
12:45:32	20672/20672	---M--	200	added ('OK')	image/png	etag:%2266e04e1a-50c0%22	https://securityheaders.com/images/security-headers.png	/Users/bb/websites/dead-link-checker/securityheaders.com/images/security-headers.png	(from https://securityheaders.com/)
12:45:34	23766/23766	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266e04e1a-5cd6%22	https://securityheaders.com/js/skel/2.2.1/skel.min.js	/Users/bb/websites/dead-link-checker/securityheaders.com/js/skel/2.2.1/skel.min.js	(from https://securityheaders.com/)
12:45:34	89794/89794	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266e04e1a-15ec2%22	https://securityheaders.com/js/jquery/3.6.4/jquery.min.js	/Users/bb/websites/dead-link-checker/securityheaders.com/js/jquery/3.6.4/jquery.min.js	(from https://securityheaders.com/)
12:45:35	19643/19643	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266e04e1a-4cbb%22	https://securityheaders.com/js/skel-layers/2.0.1/skel-layers.min.js	/Users/bb/websites/dead-link-checker/securityheaders.com/js/skel-layers/2.0.1/skel-layers.min.js	(from https://securityheaders.com/)
12:45:36	4329/4329	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266e04e1a-10e9%22	https://securityheaders.com/js/jquery.dropotron.min.js	/Users/bb/websites/dead-link-checker/securityheaders.com/js/jquery.dropotron.min.js	(from https://securityheaders.com/)
12:45:37	4571/4571	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266e04e1a-11db%22	https://securityheaders.com/js/init.min.js?v=1	/Users/bb/websites/dead-link-checker/securityheaders.com/js/init.min3860.js	(from https://securityheaders.com/)
12:45:38	4507/4507	---MCZ	200	added ('OK')	text/css	etag:W/%2266e04e1a-119b%22	https://securityheaders.com/css/skel/2.2.1/skel.min.css	/Users/bb/websites/dead-link-checker/securityheaders.com/css/skel/2.2.1/skel.min.css	(from https://securityheaders.com/)
12:45:39	13148/13148	---MCZ	200	added ('OK')	text/css	etag:W/%226762d3e9-335c%22	https://securityheaders.com/css/style.min.css?v=1.0.19	/Users/bb/websites/dead-link-checker/securityheaders.com/css/style.min17d3.css	(from https://securityheaders.com/)
12:45:40	4342/4342	---MCZ	200	added ('OK')	text/css	etag:W/%226761a42a-10f6%22	https://securityheaders.com/css/style-desktop.min.css?v=1.0.17	/Users/bb/websites/dead-link-checker/securityheaders.com/css/style-desktop.mina0a7.css	(from https://securityheaders.com/)
12:45:40	215/215	---MCZ	200	added ('OK')	text/css	etag:W/%2266e04e1a-d7%22	https://securityheaders.com/css/style-1000px.min.css?v=1.0.16	/Users/bb/websites/dead-link-checker/securityheaders.com/css/style-1000px.min2750.css	(from https://securityheaders.com/)
12:45:41	3695/3695	---MCZ	200	added ('OK')	text/css	etag:W/%226762d3e9-e6f%22	https://securityheaders.com/css/style-mobile.min.css?v=1.0.18	/Users/bb/websites/dead-link-checker/securityheaders.com/css/style-mobile.min0aff.css	(from https://securityheaders.com/)
12:45:43	25698/25698	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226761a42a-6462%22	https://securityheaders.com/images/Probely%20Security%20Headers%20Logo%20-%20Light.svg	/Users/bb/websites/dead-link-checker/securityheaders.com/images/Probely%20Security%20Headers%20Logo%20-%20Light.svg	(from https://securityheaders.com/)
12:45:43	4721/4721	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Jan%202025%2007:15:43%20GMT	https://securityheaders.com/cdn-cgi/l/email-protection	/Users/bb/websites/dead-link-checker/securityheaders.com/cdn-cgi/l/email-protection.html	(from https://securityheaders.com/)
12:45:44	5427/5427	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Jan%202025%2007:15:44%20GMT	https://securityheaders.com/api/	/Users/bb/websites/dead-link-checker/securityheaders.com/api/index.html	(from https://securityheaders.com/)
